iter	Passed	Remaining
0	149	149267
1	186	92999
2	228	76039
3	248	61966
4	262	52148
5	275	45592
6	292	41473
7	314	39016
8	332	36557
9	350	34735
10	367	33019
11	380	31367
12	392	29779
13	403	28419
14	414	27240
15	426	26203
16	435	25178
17	446	24346
18	457	23641
19	469	22984
20	480	22387
21	493	21923
22	507	21568
23	521	21204
24	535	20897
25	549	20592
26	563	20294
27	578	20077
28	594	19909
29	611	19779
30	631	19733
31	648	19628
32	659	19339
33	674	19158
34	689	19005
35	706	18927
36	723	18839
37	739	18724
38	778	19180
39	796	19120
40	812	19001
41	823	18790
42	911	20278
43	929	20202
44	963	20457
45	977	20281
46	993	20145
47	1006	19961
48	1018	19762
49	1031	19599
50	1045	19458
51	1058	19299
52	1069	19108
53	1081	18942
54	1092	18777
55	1105	18630
56	1113	18421
57	1124	18271
58	1133	18077
59	1144	17936
60	1157	17812
61	1167	17662
62	1177	17517
63	1190	17417
64	1204	17324
65	1215	17202
66	1227	17092
67	1241	17021
68	1255	16944
69	1269	16859
70	1279	16738
71	1291	16646
72	1302	16536
73	1310	16404
74	1322	16313
75	1333	16210
76	1341	16085
77	1353	15997
78	1363	15897
79	1375	15815
80	1390	15775
81	1406	15746
82	1423	15722
83	1438	15690
84	1453	15645
85	1466	15588
86	1476	15495
87	1487	15412
88	1497	15333
89	1506	15236
90	1518	15164
91	1528	15088
92	1538	14999
93	1550	14943
94	1563	14892
95	1573	14814
96	1586	14768
97	1600	14728
98	1613	14684
99	1623	14610
100	1634	14548
101	1646	14496
102	1655	14417
103	1666	14358
104	1678	14308
105	1688	14240
106	1699	14187
107	1712	14141
108	1720	14065
109	1731	14008
110	1740	13942
111	1749	13868
112	1759	13811
113	1767	13740
114	1776	13674
115	1785	13606
116	1794	13540
117	1802	13471
118	1810	13407
119	1819	13341
120	1827	13277
121	1837	13223
122	1845	13158
123	1854	13103
124	1863	13041
125	1872	12989
126	1880	12926
127	1890	12879
128	1900	12831
